Postcode_Region,Priority_Segment,Lead_Age_N,Combined_Gender,DaysLefttoRenewal,Age,DMCFLag,QuoteFlag
'Northern Ireland',2,0,0,20,58,1,0
'Northern Ireland',2.288813,0,0,21,44,1,1
London,2.288813,0,1,16,37,1,0
London,2.288813,3,0,20,29,1,0
'Northern Ireland',2.288813,0,1,19,31,1,0
London,2,1,1,18,51,1,0
London,2,1,0,16,54,1,0
'Northern Ireland',2.288813,0,0,16,29,1,0
London,2.288813,0,0,16,37,1,0
'Northern Ireland',2,5,1,17,45,1,0
London,2.288813,0,0,21,50,1,0
'Northern Ireland',2.288813,0,0,21,51,1,0
'Northern Ireland',2,0,0,17,32,1,0
London,1,0,0,16,46,1,0
'Northern Ireland',2.288813,0,0,21,28,1,0
London,2.288813,1,0,17.609011,31,1,0
'Northern Ireland',2.288813,0,1,15,44,1,0
London,2.288813,0,0,19,31,1,0
London,2,0,0,17,53,1,0
London,2.288813,0,1,19,28,1,0
'Northern Ireland',4,0,0,14,51,1,0
'Northern Ireland',2.288813,0,1,19,32,1,0
'Northern Ireland',2,0,1,15,42,1,0
'Northern Ireland',2.288813,0,0,15,39,1,0
'Northern Ireland',4,3,0,17,33,1,0
'Northern Ireland',2.288813,0,1,16,39,1,0
'Northern Ireland',2.288813,0,1,21,27,1,0
'Northern Ireland',2,0,0,19,52,1,0
'Northern Ireland',2.288813,6,1,15,66,1,0
London,2,0,0,16,52,1,0
London,2.288813,0,0,19,51,1,1
London,2.288813,0,1,16,48,1,0
'Northern Ireland',2.288813,0,0,17,44,1,0
'Northern Ireland',2,0,1,17,38,1,0
'Northern Ireland',2.288813,0,0,12,42,1,0
London,2.288813,0,1,16,54,1,0
'Northern Ireland',2.288813,0,1,21,50,1,0
'Northern Ireland',4,0,0,14,48,1,0
London,2.288813,0,1,21,39,1,0
London,2.288813,1,1,17.609011,58,1,0
London,1,0,0,19,42,1,0
'Northern Ireland',3,0,0,15,53,1,0
London,2.288813,0,0,15,60,1,0
'Northern Ireland',2,0,0,15,49,1,0
London,2.288813,0,1,15,26,1,0
London,2.288813,0,0,20,28,1,0
'Northern Ireland',2.288813,0,0,16,65,1,0
'Northern Ireland',4,1,1,18,49,1,0
London,2.288813,1,0,17,36,1,0
London,2,0,0,16,51,1,0
London,2.288813,1,0,15,42,1,0
'Northern Ireland',2.288813,0,1,19,43,1,0
London,2.288813,0,1,18,42,1,0
'Northern Ireland',2.288813,0,1,17,50,1,0
'Northern Ireland',2.288813,0,1,18,27,1,0
'Northern Ireland',2,4,1,20,53,1,0
'Northern Ireland',3,6,1,19,53,1,0
'Northern Ireland',2,0,0,16,46,1,0
London,2.288813,3,1,20,41,1,0
'Northern Ireland',2.288813,0,1,16,67,1,0
London,2.288813,0,0,20,57,1,0
'Northern Ireland',2,0,1,19,61,1,0
'Northern Ireland',2.288813,0,0,17,28,1,0
'Northern Ireland',1,0,1,19,69,1,0
London,3,0,1,19,49,1,0
London,2.288813,0,0,19,45,1,0
'Northern Ireland',2,0,0,13,32,1,0
London,4,0,1,15,36,1,0
'Northern Ireland',2.288813,0,0,15,41,1,0
London,2.288813,0,0,18,49,1,0
'Northern Ireland',2.288813,0,0,15,51,1,0
London,2.288813,0,0,20,41,1,0
London,2.288813,0,0,19,32,1,0
'Northern Ireland',2.288813,0,0,20,58,1,0
London,2.288813,0,0,11,27,1,0
London,2.288813,1,1,21,58,1,0
London,2.288813,0,0,17,35,1,0
London,4,0,0,16,26,1,0
'Northern Ireland',2.288813,1,1,18,36,1,0
London,2.288813,0,0,15,49,1,0
'Northern Ireland',2,0,0,15,44,1,0
London,4,0,1,15,44,1,1
London,3,0,0,15,35,1,1
London,2.288813,0,0,16,53,1,0
'Northern Ireland',2,0,1,17,39,1,0
'Northern Ireland',2.288813,0,0,21,32,1,0
'Northern Ireland',2.288813,0,1,19,52,1,0
London,2.288813,0,0,17,31,1,0
'Northern Ireland',1,0,0,17.609011,57,1,0
London,2.288813,0,0,19,30,1,1
London,2.288813,1,1,21,59,1,0
'Northern Ireland',2.288813,0,0,19,28,1,0
London,1,0,0,20,63,1,0
London,2.288813,0,0,19,27,1,0
London,2.288813,1,1,18,64,1,0
'Northern Ireland',2.288813,0,1,20,47,1,0
London,2.288813,0,1,17,68,1,0
London,2.288813,0,1,21,58,1,1
London,2.288813,0,1,19,47,1,0
'Northern Ireland',2,0,1,14,63,1,1
London,2.288813,0,0,15,26,1,0
London,2.288813,0,1,15,64,1,0
'Northern Ireland',2.288813,0,0,16,34,1,0
'Northern Ireland',2.288813,0,0,15,54,1,0
'Northern Ireland',4,1,0,18,28,1,0
London,2.288813,0,1,20,35,1,0
'Northern Ireland',2,3,0,20,37,1,0
London,4,1,1,18,43,1,0
'Northern Ireland',2,1,1,17,61,1,0
London,1,0,1,18,52,1,0
London,4,0,1,16,46,1,0
'Northern Ireland',2,4,0,17,51,1,1
London,2.288813,3,0,16,53,1,0
London,3,0,0,15,39,1,0
London,2.288813,0,0,19,32,1,0
London,2,0,0,19,44,1,0
'Northern Ireland',2,0,1,19,69,1,0
London,2.288813,0,0,20,40,1,0
'Northern Ireland',2.288813,0,0,15,31,1,0
'Northern Ireland',2.288813,0,0,19,46,1,0
London,2.288813,1,0,17.609011,42,1,0
London,2.288813,0,0,16,61,1,0
London,2.288813,0,0,21,34,1,0
London,3,6,1,18,33,1,0
'Northern Ireland',4,0,0,15,26,1,0
London,2.288813,0,0,20,45,1,0
'Northern Ireland',2,0,0,16,40,1,0
'Northern Ireland',2.288813,0,0,17,42,1,0
London,1,0,0,15,44,1,0
London,2.288813,1,1,20,71,1,0
London,2.288813,0,0,17,55,1,0
'Northern Ireland',1,4,0,18,53,1,0
London,3,0,0,18,44,1,0
London,2,0,0,13,47,1,0
'Northern Ireland',2.288813,0,0,18,36,1,0
'Northern Ireland',2.288813,0,0,14,49.016745,1,0
London,2.288813,0,0,14,49.016745,1,0
London,3,0,1,18,47,1,0
London,4,6,0,18,57,1,0
London,2,0,1,20,46,1,0
London,2.288813,0,1,17.609011,55,1,0
'Northern Ireland',2.288813,0,1,17,27,1,0
'Northern Ireland',2.288813,0,0,16,28,1,0
